date,post_category,post_type,video_duration,carousel_item_count,impressions,reach,shares,follows,likes,comments,saves
04-03-2023,Earphone,IG Video,291,0,12265,3668,69,92,327,7,18
05-03-2023,Smartwatch,IG Image,0,0,62770,18001,273,360,1194,28,76
11-03-2023,Mobile,IG Carousel,0,3,5899,1093,45,12,53,0,6
12-03-2023,Laptop,IG Image,0,0,79416,23474,327,259,1235,69,204
18-03-2023,Mobile,IG Carousel,0,3,9157,2254,67,58,55,6,15
19-03-2023,Smartwatch,IG Carousel,0,3,4146,1079,42,17,43,1,6
25-03-2023,Earphone,IG Reel,22,0,132284,66721,1093,1482,3622,83,695
26-03-2023,Mobile,IG Image,0,0,63425,26113,435,336,1994,68,179
01-04-2023,Mobile,IG Carousel,0,3,4549,1052,27,18,35,1,6
02-04-2023,Earphone,IG Video,163,0,54672,16126,172,182,938,22,81
08-04-2023,Other Gadgets,IG Video,258,0,37955,12663,204,164,753,31,63
09-04-2023,Mobile,IG Image,0,0,52278,14438,271,167,1393,36,44
15-04-2023,Laptop,IG Reel,30,0,123270,39850,296,1486,3926,101,1139
16-04-2023,Other Gadgets,IG Reel,29,0,115701,66829,937,929,5749,94,658
22-04-2023,Laptop,IG Video,172,0,33604,14682,255,349,1038,22,73
23-04-2023,Earphone,IG Video,229,0,36973,13629,224,244,929,30,68
29-04-2023,Earphone,IG Video,206,0,43526,11799,134,138,646,12,59
30-04-2023,Mobile,IG Reel,59,0,185017,63990,1010,2238,6039,94,330
