month,date,new_followers
January,2023-01-30,3186
January,2023-01-03,2959
January,2023-01-23,1003
February,2023-02-01,4106
February,2023-02-24,2383
February,2023-02-02,1989
March,2023-03-21,5421
March,2023-03-28,2513
March,2023-03-25,2356
April,2023-04-25,3736
April,2023-04-30,2753
April,2023-04-06,2500
May,2023-05-08,8872
May,2023-05-20,6169
May,2023-05-12,6051
June,2023-06-30,8804
June,2023-06-03,8802
June,2023-06-21,7033
July,2023-07-08,3716
July,2023-07-15,3364
July,2023-07-28,2344
August,2023-08-23,2074
August,2023-08-21,1783
August,2023-08-06,1687
September,2023-09-16,3849
September,2023-09-22,3570
September,2023-09-21,2285
